reaction,minimum,maximum,minimum_status,maximum_status,blocked_at_tol
r_0120,0.0,0.5115299125616563,optimal,optimal,False
r_0121,0.0,0.5115299125616595,optimal,optimal,False
r_0122,0.0,0.8266607198092124,optimal,optimal,False
r_0123,0.0,3.7535469040019795,optimal,optimal,False
r_0124,0.0,3.7535469040018614,optimal,optimal,False
r_0125,0.0,3.7535469040019964,optimal,optimal,False
r_0126,0.0,9.985680606864362,optimal,optimal,False
r_0127,0.0,9.985763928761159,optimal,optimal,False
r_0128,0.0,9.98568060686415,optimal,optimal,False
r_0129,0.0,9.985680606864305,optimal,optimal,False
r_0130,0.0,9.985680606864104,optimal,optimal,False
r_0131,0.0,9.985680606864154,optimal,optimal,False
r_0132,0.0,9.985680606864111,optimal,optimal,False
r_0133,0.0,9.985680606864406,optimal,optimal,False
r_0134,0.0,9.985680606863987,optimal,optimal,False
r_0135,0.0,9.985680606864133,optimal,optimal,False
r_0137,0.0,0.0,optimal,optimal,True
r_0138,0.0,7.0962467112458345,optimal,optimal,False
r_0139,0.0,9.98636240075185,optimal,optimal,False
r_0140,0.0,7.096246711245947,optimal,optimal,False
r_0142,0.0,16.643937334587104,optimal,optimal,False
r_0143,0.0,11.164384099669583,optimal,optimal,False
r_0144,0.0011256855074560838,6.242185164614223,optimal,optimal,False
r_0145,1.537822287598974e-06,1.5089222469626948,optimal,optimal,False
r_0146,0.0,0.0,optimal,optimal,True
r_0147,0.0,9.98568060686418,optimal,optimal,False
r_0148,0.051765579121047865,16.70098605864399,optimal,optimal,False
r_0149,0.0,16.64280101144034,optimal,optimal,False
r_0150,0.0,16.642801011440312,optimal,optimal,False
r_0151,0.000828830046545823,0.6219524744822679,optimal,optimal,False
r_0152,0.0011167172947469416,11.165500816964247,optimal,optimal,False
r_0153,0.0011167172947395031,11.165500816964242,optimal,optimal,False
r_0154,0.0009651693377525481,3.902231229215909,optimal,optimal,False
r_0155,0.0,0.0,optimal,optimal,True
r_0156,0.0,2.2087718592834813,optimal,optimal,False
r_0157,0.0028145111779035595,0.02814511631802162,optimal,optimal,False
r_0158,0.0,0.5306164187436883,optimal,optimal,False
r_0159,0.0,9.985680179045398,optimal,optimal,False
r_0160,0.0,9.985680179045223,optimal,optimal,False
r_0161,0.0,9.985680179045595,optimal,optimal,False
r_0162,0.0,0.40217852012995525,optimal,optimal,False
r_0163,0.0,1000.0,optimal,optimal,False
r_0164,0.0,0.0,optimal,optimal,True
r_0165,0.0,1000.0,optimal,optimal,False
r_0166,0.0,0.6969130057677935,optimal,optimal,False
r_0167,0.0,0.6969130057672,optimal,optimal,False
r_0168,0.0,0.6785071953087708,optimal,optimal,False
r_0169,0.0,0.4897142978216369,optimal,optimal,False
r_0170,0.0,0.48971429782246767,optimal,optimal,False
r_0171,0.0,0.48495794294669503,optimal,optimal,False
r_0172,1.53782228759482e-06,1.508922246301529,optimal,optimal,False
r_0173,0.0,3.9126085130517296,optimal,optimal,False
r_0174,0.0,3.751507229619014,optimal,optimal,False
r_0175,0.0,1.6168071109938578,optimal,optimal,False
r_0176,0.0,0.0,optimal,optimal,True
r_0177,0.0,0.0,optimal,optimal,True
r_0178,0.0,0.0,optimal,optimal,True
r_0179,0.0,0.6428343513615646,optimal,optimal,False
r_0180,0.0,0.6428343513626228,optimal,optimal,False
r_0181,0.0,0.6202435610921452,optimal,optimal,False
r_0182,0.0,0.9303653416379257,optimal,optimal,False
r_0183,0.0,0.9303653416384673,optimal,optimal,False
r_0184,0.0,0.8587987768988086,optimal,optimal,False
r_0185,0.0,0.0,optimal,optimal,True
r_0186,0.0,0.3801275165269738,optimal,optimal,False
r_0187,0.0,0.38012751652717097,optimal,optimal,False
r_0188,0.0,5.1294836825434645e-06,optimal,optimal,False
r_0189,0.0,0.0,optimal,optimal,True
r_0190,0.0,0.0,optimal,optimal,True
r_0191,0.0,2.7738000497362476,optimal,optimal,False
r_0192,0.0,0.0,optimal,optimal,True
r_0193,0.0,6.2410501119037765,optimal,optimal,False
r_0194,0.0,6.241050111906389,optimal,optimal,False
r_0195,0.0011052085611214912,6.242155584212258,optimal,optimal,False
r_0198,0.0,0.0,optimal,optimal,True
r_0199,0.0,0.0,optimal,optimal,True
r_0201,0.0,11.16438409965349,optimal,optimal,False
r_0202,0.00036130578630071873,2.218668044926921,optimal,optimal,False
