"record_id","round_label","decision_stage","strain_or_target","condition","value","unit","time_h","data_status","source_figure","source_file_internal","feedback_label","notes"
"R0-GLC-R1-009","Round0","model_input_generation","initial_AST","glucose replicate 1","4.1","reported_scale_unit_not_explicit","9","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-GLC-R2-009","Round0","model_input_generation","initial_AST","glucose replicate 2","4.1","reported_scale_unit_not_explicit","9","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-GLC-R1-012","Round0","model_input_generation","initial_AST","glucose replicate 1","0","reported_scale_unit_not_explicit","12","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-GLC-R2-012","Round0","model_input_generation","initial_AST","glucose replicate 2","0","reported_scale_unit_not_explicit","12","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R1-009","Round0","model_input_generation","initial_AST","ethanol replicate 1","7.5","reported_scale_unit_not_explicit","9","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R2-009","Round0","model_input_generation","initial_AST","ethanol replicate 2","7.5","reported_scale_unit_not_explicit","9","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R1-012","Round0","model_input_generation","initial_AST","ethanol replicate 1","10","reported_scale_unit_not_explicit","12","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R2-012","Round0","model_input_generation","initial_AST","ethanol replicate 2","10","reported_scale_unit_not_explicit","12","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R1-024","Round0","model_input_generation","initial_AST","ethanol replicate 1","8.5","reported_scale_unit_not_explicit","24","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R2-024","Round0","model_input_generation","initial_AST","ethanol replicate 2","8.5","reported_scale_unit_not_explicit","24","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R1-048","Round0","model_input_generation","initial_AST","ethanol replicate 1","5.5","reported_scale_unit_not_explicit","48","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R2-048","Round0","model_input_generation","initial_AST","ethanol replicate 2","5.5","reported_scale_unit_not_explicit","48","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R1-072","Round0","model_input_generation","initial_AST","ethanol replicate 1","3","reported_scale_unit_not_explicit","72","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R2-072","Round0","model_input_generation","initial_AST","ethanol replicate 2","2","reported_scale_unit_not_explicit","72","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R1-096","Round0","model_input_generation","initial_AST","ethanol replicate 1","1","reported_scale_unit_not_explicit","96","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R2-096","Round0","model_input_generation","initial_AST","ethanol replicate 2","0.5","reported_scale_unit_not_explicit","96","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R1-120","Round0","model_input_generation","initial_AST","ethanol replicate 1","0","reported_scale_unit_not_explicit","120","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R2-120","Round0","model_input_generation","initial_AST","ethanol replicate 2","0","reported_scale_unit_not_explicit","120","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R1-144","Round0","model_input_generation","initial_AST","ethanol replicate 1","0","reported_scale_unit_not_explicit","144","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R2-144","Round0","model_input_generation","initial_AST","ethanol replicate 2","0","reported_scale_unit_not_explicit","144","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
