path,source_zip,source_member,bytes,source_sha256,repo_sha256,status
src/ai/fabric_ai_optimizer/fabric_ai_benchmark.py,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,optimizer/fabric_ai_benchmark.py,45375,c43964cafcf24ee65652256494f2f8aac67be7f3cfb1195f0ffe1614ac248c57,c43964cafcf24ee65652256494f2f8aac67be7f3cfb1195f0ffe1614ac248c57,EXACT
tests/fabric_ai/test_ranker.py,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,tests/test_ranker.py,5216,df1d9037c7e7143feb9ce6ffaf8a1d885c2bc773431d35289fc503ee07804526,df1d9037c7e7143feb9ce6ffaf8a1d885c2bc773431d35289fc503ee07804526,EXACT
src/ai/fabric_ai_optimizer/verify_design_mode.py,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/tools/verify_design_mode.py,4049,a5414640cc897761a29c5f4f8dd02502f9f9b1ab18889fea34a3754cb627fd86,a5414640cc897761a29c5f4f8dd02502f9f9b1ab18889fea34a3754cb627fd86,EXACT
src/ai/fabric_ai_optimizer/verify_ranking_numeric_correction.py,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,tools/verify_ranking_numeric_correction.py,7982,12bf91d20296c62a09644c7f73f2ca7e049071e86f69fd5a4aeac0988714ee16,12bf91d20296c62a09644c7f73f2ca7e049071e86f69fd5a4aeac0988714ee16,EXACT
configs/fabric_ai/v1_glucose_reference.json,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/conditions/v1_glucose_reference.json,280,f8605f6d68f3a23be3da8fb37d5fb1134ad4d2d62c81d720f26fea36c01556a5,f8605f6d68f3a23be3da8fb37d5fb1134ad4d2d62c81d720f26fea36c01556a5,EXACT
configs/fabric_ai/v2a_historical_ethanol_stage.json,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/conditions/v2a_historical_ethanol_stage.json,464,1e33446024972f882a0260cdd0e1efd06a9e708ad297952b7e926947919d0027,1e33446024972f882a0260cdd0e1efd06a9e708ad297952b7e926947919d0027,EXACT
configs/fabric_ai/protected_reaction_ids.json,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/config/protected_reaction_ids.json,26476,6373e8b8ea1af85f4e58819b6f7c42a2a15589106ef4f0dbefa16931c51e81cd,6373e8b8ea1af85f4e58819b6f7c42a2a15589106ef4f0dbefa16931c51e81cd,EXACT
configs/config/protected_reaction_ids.json,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/config/protected_reaction_ids.json,26476,6373e8b8ea1af85f4e58819b6f7c42a2a15589106ef4f0dbefa16931c51e81cd,6373e8b8ea1af85f4e58819b6f7c42a2a15589106ef4f0dbefa16931c51e81cd,EXACT
models/fabric_ai/common_model.json,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/model/common_model.json,4556661,c7767f92ae22dfd1591ca138e99dc305f477728cffb9eee4eef71d3c162ed684,c7767f92ae22dfd1591ca138e99dc305f477728cffb9eee4eef71d3c162ed684,EXACT
results/fabric_ai/20260908/candidate_space.json,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/results/fabric_ai_primary_prepare/candidate_space.json,66429,22b01bf95c4e6574aa87d21a8d47d29baeba6aeb3d6a8b0fdabe4e73c17caf80,22b01bf95c4e6574aa87d21a8d47d29baeba6aeb3d6a8b0fdabe4e73c17caf80,EXACT
results/fabric_ai/20260908/gene_admission_audit.csv,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/results/fabric_ai_primary_prepare/gene_admission_audit.csv,142380,ef8d52056eccf1787d4a2408a9adebff4d944520e709f3f8bb390ef17e5aba03,ef8d52056eccf1787d4a2408a9adebff4d944520e709f3f8bb390ef17e5aba03,EXACT
results/fabric_ai/20260908/reaction_fva.csv,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/results/fabric_ai_primary_prepare/reaction_fva.csv,110877,4d0589c52b150fa8e1707d92d813c1984ad291201452ae5fbbbcb30469fbd93e,4d0589c52b150fa8e1707d92d813c1984ad291201452ae5fbbbcb30469fbd93e,EXACT
results/fabric_ai/20260908/prepare_summary.json,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/results/fabric_ai_primary_prepare/summary.json,1213,c6f95d4edc49d083ef498aeef3cc8dc85d16bd0978ca0f5ac3a0fd67b61fad71,c6f95d4edc49d083ef498aeef3cc8dc85d16bd0978ca0f5ac3a0fd67b61fad71,EXACT
results/fabric_ai/20260908/v1_candidate_metrics.csv,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_v1_metrics/candidate_metrics.csv,103985,2176df82d1f75ee7c38990836c3e185c658b2c615635664e800c68063332300d,2176df82d1f75ee7c38990836c3e185c658b2c615635664e800c68063332300d,EXACT
results/fabric_ai/20260908/v1_summary.json,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_v1_metrics/summary.json,3008,a2592d738b36ad299d7ba64d7084284d00d60cad707c8cb9ead2663976f30c22,a2592d738b36ad299d7ba64d7084284d00d60cad707c8cb9ead2663976f30c22,EXACT
results/fabric_ai/20260908/v2a_candidate_metrics.csv,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_v2a_metrics/candidate_metrics.csv,106420,e270f2636e8fb0e52702f43e35fc6a7e8aea5acdffa344fb7b09c45d0839e150,e270f2636e8fb0e52702f43e35fc6a7e8aea5acdffa344fb7b09c45d0839e150,EXACT
results/fabric_ai/20260908/v2a_summary.json,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_v2a_metrics/summary.json,3354,8d21cfa35bc4757e5317e0c397347cb8f938ebb38e4aac7bd934f9c30ed8677e,8d21cfa35bc4757e5317e0c397347cb8f938ebb38e4aac7bd934f9c30ed8677e,EXACT
results/fabric_ai/20260908/design_mode_ranking.csv,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_ranking_numeric_correction_20260908/design_mode_ranking.csv,16833,64e7493450278d3b616a66b6dc1d109b7d503d175bc3ffef5c9c36517ec23206,64e7493450278d3b616a66b6dc1d109b7d503d175bc3ffef5c9c36517ec23206,EXACT
results/history/fabric_ai/20260908/pre_numeric_correction/design_mode_ranking.csv,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/results/fabric_ai_design_mode_final/design_mode_ranking.csv,17763,dda2807d1a80cc214fe3cc2f08a326582a16d91f1b5ff563a0ab6a1f9aeba9a3,dda2807d1a80cc214fe3cc2f08a326582a16d91f1b5ff563a0ab6a1f9aeba9a3,EXACT
results/fabric_ai/20260908/design_mode_topk.csv,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_ranking_numeric_correction_20260908/design_mode_topk.csv,509,ea440d8e8bc5f96a8bf88b1579c4074f54ef4f4146eed6330058ad0edc62c561,ea440d8e8bc5f96a8bf88b1579c4074f54ef4f4146eed6330058ad0edc62c561,EXACT
