path,bytes,sha256,change,source_zip,source_member,source_sha256,source_match
results/fabric_ai/20260908/ranking_numeric_correction_manifest.json,5162,a46b11762ffc84de6516e0a621d8ea436c37235aa8f8a197c010157117c0a784,ADDED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,ranking_numeric_correction_manifest.json,a46b11762ffc84de6516e0a621d8ea436c37235aa8f8a197c010157117c0a784,EXACT
results/fabric_ai/20260908/ranking_numeric_correction_verification.json,1833,ad603d5ff65fb296b106e64624c48f912218406a1fe78040dc2d78c084e890bf,ADDED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,audit/ranking_numeric_correction_verification.json,ad603d5ff65fb296b106e64624c48f912218406a1fe78040dc2d78c084e890bf,EXACT
results/fabric_ai/20260908/RANKING_NUMERIC_EQUIVALENCE_CORRECTION.md,2930,7cc8e6c25d5ca1f50375fc955f5f2495503e9a18a79aaeca83c3324d1506fd10,UNCHANGED,,,,NOT_APPLICABLE
results/fabric_ai/20260908/reaction_fva.csv,110877,4d0589c52b150fa8e1707d92d813c1984ad291201452ae5fbbbcb30469fbd93e,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/results/fabric_ai_primary_prepare/reaction_fva.csv,4d0589c52b150fa8e1707d92d813c1984ad291201452ae5fbbbcb30469fbd93e,EXACT
results/fabric_ai/20260908/README.md,1237,e9e641b9154d84c8026bb661eac8bdde92a854451b47e6a6a8e0b7cc9c495919,ADDED,,,,NOT_APPLICABLE
results/fabric_ai/20260908/README_RANKING_NUMERIC_EQUIVALENCE_CORRECTION.md,1837,d51d38bdb7a90d22ba7122651323d9ecd44019d14a80684e2b849b9cfafed52e,ADDED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,README_RANKING_NUMERIC_EQUIVALENCE_CORRECTION.md,d51d38bdb7a90d22ba7122651323d9ecd44019d14a80684e2b849b9cfafed52e,EXACT
results/fabric_ai/20260908/summary.json,2627,448ef091d9bd766a08fa637314e2d1c4e729fe3ba431d8423a102d07b2904ff9,ADDED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_ranking_numeric_correction_20260908/summary.json,448ef091d9bd766a08fa637314e2d1c4e729fe3ba431d8423a102d07b2904ff9,EXACT
results/fabric_ai/20260908/v1_candidate_metrics.csv,103985,2176df82d1f75ee7c38990836c3e185c658b2c615635664e800c68063332300d,ADDED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_v1_metrics/candidate_metrics.csv,2176df82d1f75ee7c38990836c3e185c658b2c615635664e800c68063332300d,EXACT
results/fabric_ai/20260908/v1_summary.json,3008,a2592d738b36ad299d7ba64d7084284d00d60cad707c8cb9ead2663976f30c22,ADDED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_v1_metrics/summary.json,a2592d738b36ad299d7ba64d7084284d00d60cad707c8cb9ead2663976f30c22,EXACT
results/fabric_ai/20260908/v2a_candidate_metrics.csv,106420,e270f2636e8fb0e52702f43e35fc6a7e8aea5acdffa344fb7b09c45d0839e150,ADDED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_v2a_metrics/candidate_metrics.csv,e270f2636e8fb0e52702f43e35fc6a7e8aea5acdffa344fb7b09c45d0839e150,EXACT
results/fabric_ai/20260908/v2a_summary.json,3354,8d21cfa35bc4757e5317e0c397347cb8f938ebb38e4aac7bd934f9c30ed8677e,ADDED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,results/fabric_ai_v2a_metrics/summary.json,8d21cfa35bc4757e5317e0c397347cb8f938ebb38e4aac7bd934f9c30ed8677e,EXACT
results/figures/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,UNCHANGED,,,,NOT_APPLICABLE
results/history/code_parts_sync_20260908/pre_sync/src/ai/fabric_ai_optimizer/FABRIC-AI_Production_Optimizer_SPEC_v1.2.md,11531,ff4855189c1d7f911f29e8fa3606239f916b914fc2eb48731abb3b03379944e8,ADDED,,,,NOT_APPLICABLE
results/history/code_parts_sync_20260908/pre_sync/src/ai/fabric_ai_optimizer/fabric_ai_optimizer_contract_v1.2.json,2580,48c5fb58094bfe636352465121af33ac6997a243a3576ea2ca62abd901089753,ADDED,,,,NOT_APPLICABLE
results/history/fabric_ai/20260908/pre_numeric_correction/audit/final_verification.json,960,a0a09c662b49f395b5ca7c2d9939ab46d528262328430e4bbf7b783003b99056,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/audit/final_verification.json,a0a09c662b49f395b5ca7c2d9939ab46d528262328430e4bbf7b783003b99056,EXACT
results/history/fabric_ai/20260908/pre_numeric_correction/design_mode_ranking.csv,17763,dda2807d1a80cc214fe3cc2f08a326582a16d91f1b5ff563a0ab6a1f9aeba9a3,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/results/fabric_ai_design_mode_final/design_mode_ranking.csv,dda2807d1a80cc214fe3cc2f08a326582a16d91f1b5ff563a0ab6a1f9aeba9a3,EXACT
results/history/fabric_ai/20260908/pre_numeric_correction/design_mode_topk.csv,599,f242e0286fd4a96d16a5a53183c83e761091ad46d43c275fcf4c7f2d6e275d39,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/results/fabric_ai_design_mode_final/design_mode_topk.csv,f242e0286fd4a96d16a5a53183c83e761091ad46d43c275fcf4c7f2d6e275d39,EXACT
results/history/fabric_ai/20260908/pre_numeric_correction/freeze_inputs/common_candidate_space_237_HISTORICAL.json,61998,29562b603abd5d9088b7ba0feefd254ad5ad7175ad53f544e533de110795425f,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/freeze_inputs/common_candidate_space_237_HISTORICAL.json,29562b603abd5d9088b7ba0feefd254ad5ad7175ad53f544e533de110795425f,EXACT
results/history/fabric_ai/20260908/pre_numeric_correction/freeze_inputs/common_model_and_evaluation_contract.json,6742,eb2aded6eb45e340c29d5cf5b6e15fe3871b0957072d4ecc40b2e7709e829a61,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/freeze_inputs/common_model_and_evaluation_contract.json,eb2aded6eb45e340c29d5cf5b6e15fe3871b0957072d4ecc40b2e7709e829a61,EXACT
results/history/fabric_ai/20260908/pre_numeric_correction/frozen_manifest.json,7374,7b606f2ace6f67670b0da929ccfa8faa777814f799014bcc0f0fb9fa42bc7652,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/frozen_manifest.json,7b606f2ace6f67670b0da929ccfa8faa777814f799014bcc0f0fb9fa42bc7652,EXACT
results/history/fabric_ai/20260908/pre_numeric_correction/logs/05_tests.log,952,0d7e7856ef1331fec6a4de715612cbdb61ae35c788c738b851e340d3c53fe946,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/logs/05_tests.log,0d7e7856ef1331fec6a4de715612cbdb61ae35c788c738b851e340d3c53fe946,EXACT
results/history/fabric_ai/20260908/pre_numeric_correction/summary.json,1482,2a55c63a8ee3b8df1f20c88fdc9ef9e1a7f84eabc9bcc5120c9003e1b188f6e8,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/results/fabric_ai_design_mode_final/summary.json,2a55c63a8ee3b8df1f20c88fdc9ef9e1a7f84eabc9bcc5120c9003e1b188f6e8,EXACT
results/README.md,694,6b92831af5955b25832625507c9f2138b1e94722930a93217a16913dd6a2b60c,UNCHANGED,,,,NOT_APPLICABLE
safety/01_安全责任协议书 (1).docx,30390,febad2ae32ec3aaae972e5d38d79a7ee088d7143bb7d9f2665e90f4d0de6abf5,UNCHANGED,,,,NOT_APPLICABLE
safety/02_学术诚信承诺书.docx,37947,33889e5577f40e4b04a96c74d2752225d91d91208bd65998c2c24823eb81972f,UNCHANGED,,,,NOT_APPLICABLE
safety/03_AI技术方案书与初步安全审批表_提交指南.docx,62915,0bceb66ed80309c41259f390e843093faf4ed83197cd85367315b460beb32ed3,UNCHANGED,,,,NOT_APPLICABLE
safety/checkin_records/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,UNCHANGED,,,,NOT_APPLICABLE
safety/README.md,1072,e1ec80c4b7443985d0a0890e87de1014fa2465f9d2b53222442975194f636374,UNCHANGED,,,,NOT_APPLICABLE
src/ai/fabric_ai_optimizer/FABRIC-AI_Production_Optimizer_SPEC_v1.2.md,11529,3d667a8cf54349134d9617da5601ace2cb7b8045fc26020c54cf1a210ffc6fcb,UPDATED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,src/ai/fabric_ai_optimizer/FABRIC-AI_Production_Optimizer_SPEC_v1.2.md,3d667a8cf54349134d9617da5601ace2cb7b8045fc26020c54cf1a210ffc6fcb,EXACT
src/ai/fabric_ai_optimizer/fabric_ai_benchmark.py,45375,c43964cafcf24ee65652256494f2f8aac67be7f3cfb1195f0ffe1614ac248c57,ADDED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,optimizer/fabric_ai_benchmark.py,c43964cafcf24ee65652256494f2f8aac67be7f3cfb1195f0ffe1614ac248c57,EXACT
src/ai/fabric_ai_optimizer/fabric_ai_optimizer_contract_v1.2.json,2573,6076a435cf29d38be450b3f4eea5ed4687936f208169d266fd8bc33af710c98a,UPDATED,FABRIC-AI_Production_Optimizer_v1.2_ranking_numeric_equivalence_correction_20260908.zip,src/ai/fabric_ai_optimizer/fabric_ai_optimizer_contract_v1.2.json,6076a435cf29d38be450b3f4eea5ed4687936f208169d266fd8bc33af710c98a,EXACT
src/ai/fabric_ai_optimizer/README.md,4681,5bfc557930dad195b1256a8d947308d2cd44aa10983a54b5cedcf78e3277c31c,ADDED,,,,NOT_APPLICABLE
src/ai/fabric_ai_optimizer/requirements-frozen.txt,140,b0fd4e1125a5691764b6b0507e0d9a794675b2920e510e3307288621095ad9bf,ADDED,,,,NOT_APPLICABLE
src/ai/fabric_ai_optimizer/verify_design_mode.py,4049,a5414640cc897761a29c5f4f8dd02502f9f9b1ab18889fea34a3754cb627fd86,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/tools/verify_design_mode.py,a5414640cc897761a29c5f4f8dd02502f9f9b1ab18889fea34a3754cb627fd86,EXACT
